season,station_number,valid_15z_date,MinT
Winter 2015,9225,2015-08-06,9.6
Winter 2015,66062,2015-08-07,6.7
Winter 2015,23090,2015-08-07,9.3
Winter 2015,86338,2015-08-07,9.0
Winter 2015,14015,2015-08-07,17.5
Winter 2015,70351,2015-08-07,
Winter 2015,40913,2015-08-07,7.7
Winter 2015,94029,2015-08-07,2.9
Winter 2015,9225,2015-08-07,12.2
Winter 2015,66062,2015-08-08,7.9
Winter 2015,23090,2015-08-08,3.3
Winter 2015,86338,2015-08-08,8.8
Winter 2015,14015,2015-08-08,21.1
Winter 2015,70351,2015-08-08,
Winter 2015,40913,2015-08-08,7.5
Winter 2015,94029,2015-08-08,1.4
Winter 2015,9225,2015-08-08,8.4
Winter 2015,66062,2015-08-09,6.2
Winter 2015,23090,2015-08-09,8.8
Winter 2015,86338,2015-08-09,7.7
Winter 2015,14015,2015-08-09,19.8
Winter 2015,70351,2015-08-09,
Winter 2015,40913,2015-08-09,7.8
Winter 2015,94029,2015-08-09,1.1
Winter 2015,9225,2015-08-09,4.6
Winter 2015,66062,2015-08-10,8.6
Winter 2015,23090,2015-08-10,10.4
Winter 2015,86338,2015-08-10,8.3
Winter 2015,14015,2015-08-10,19.3
Winter 2015,70351,2015-08-10,3.8
Winter 2015,40913,2015-08-10,9.3
Winter 2015,94029,2015-08-10,5.2
Winter 2015,9225,2015-08-10,8.4
Winter 2015,66062,2015-08-11,9.8
Winter 2015,23090,2015-08-11,7.4
Winter 2015,86338,2015-08-11,7.8
Winter 2015,14015,2015-08-11,19.5
Winter 2015,70351,2015-08-11,3.1
Winter 2015,40913,2015-08-11,8.6
Winter 2015,94029,2015-08-11,4.4
Winter 2015,9225,2015-08-11,10.1
Winter 2015,66062,2015-08-12,8.4
Winter 2015,23090,2015-08-12,7.0
Winter 2015,86338,2015-08-12,10.1
Winter 2015,14015,2015-08-12,18.9
Winter 2015,70351,2015-08-12,
Winter 2015,40913,2015-08-12,11.8
Winter 2015,94029,2015-08-12,3.2
Winter 2015,9225,2015-08-12,5.5
Winter 2015,66062,2015-08-13,9.4
Winter 2015,23090,2015-08-13,10.5
Winter 2015,86338,2015-08-13,8.4
Winter 2015,14015,2015-08-13,20.4
Winter 2015,70351,2015-08-13,0.5
Winter 2015,40913,2015-08-13,12.3
Winter 2015,94029,2015-08-13,5.8
Winter 2015,9225,2015-08-13,13.1
Winter 2015,66062,2015-08-14,7.9
Winter 2015,23090,2015-08-14,11.3
Winter 2015,86338,2015-08-14,10.9
Winter 2015,14015,2015-08-14,20.1
Winter 2015,70351,2015-08-14,-2.8
Winter 2015,40913,2015-08-14,8.4
Winter 2015,94029,2015-08-14,6.5
Winter 2015,9225,2015-08-14,6.1
Winter 2015,66062,2015-08-15,8.2
Winter 2015,23090,2015-08-15,10.9
Winter 2015,86338,2015-08-15,10.0
Winter 2015,14015,2015-08-15,17.9
Winter 2015,70351,2015-08-15,
Winter 2015,40913,2015-08-15,8.0
Winter 2015,94029,2015-08-15,2.2
Winter 2015,9225,2015-08-15,7.9
Winter 2015,66062,2015-08-16,10.5
Winter 2015,23090,2015-08-16,6.9
Winter 2015,86338,2015-08-16,4.7
Winter 2015,14015,2015-08-16,17.4
Winter 2015,70351,2015-08-16,0.5
Winter 2015,40913,2015-08-16,10.7
Winter 2015,94029,2015-08-16,8.7
Winter 2015,9225,2015-08-16,9.1
Winter 2015,66062,2015-08-17,9.3
Winter 2015,23090,2015-08-17,9.3
Winter 2015,86338,2015-08-17,9.4
Winter 2015,14015,2015-08-17,16.1
Winter 2015,70351,2015-08-17,3.3
Winter 2015,40913,2015-08-17,11.3
Winter 2015,94029,2015-08-17,2.6
Winter 2015,9225,2015-08-17,15.4
Winter 2015,66062,2015-08-18,10.9
Winter 2015,23090,2015-08-18,8.8
Winter 2015,86338,2015-08-18,6.1
Winter 2015,14015,2015-08-18,16.3
Winter 2015,70351,2015-08-18,-4.1
Winter 2015,40913,2015-08-18,10.3
Winter 2015,94029,2015-08-18,1.8
Winter 2015,9225,2015-08-18,12.2
Winter 2015,66062,2015-08-19,9.0
Winter 2015,23090,2015-08-19,8.5
